category,name,product_id,product_url,image_url,other_images,full_price,discount_price,stock,color,tag(s),filename
c-men,'Boke Flower' embroidered classic T-shirt,FC65TS4124SG.01,https://www.kenzo.com/en-us/boke-flower-embroidered-classic-t-shirt/FC65TS4124SG.01.html,https://media.kenzo.com/b2cprd/FC65TS4124SG.01_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FC65TS4124SG.01_H_01.jpg?twic=v1/cover=4:5/resize=706,$175,,,"black, pale grey, white, +1 more",,c-men.html
c-men,KENZO Elephant 'Varsity Jungle' embroidered sweatshirt,FD65SW0474MF.99J,https://www.kenzo.com/en-us/kenzo-elephant-varsity-jungle-embroidered-sweatshirt/FD65SW0474MF.99J.html,https://media.kenzo.com/b2cprd/FD65SW0474MF.99J_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FD65SW0474MF.99J_H_01.jpg?twic=v1/cover=4:5/resize=706,$395,$277,,"black, cyan",,c-men.html
c-men,Oversize 'Boke Flower 2.0' T-shirt,FD55TS4094SG.99J,https://www.kenzo.com/en-us/oversize-boke-flower-2.0-t-shirt/FD55TS4094SG.99J.html,https://media.kenzo.com/b2cprd/FD55TS4094SG.99J_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FD55TS4094SG.99J_H_01.jpg?twic=v1/cover=4:5/resize=706,$255,,,"black, off white",,c-men.html
c-men,'KENZO Elephant' sweatshirt,FE55SW1874MF.99J,https://www.kenzo.com/en-us/kenzo-elephant-sweatshirt/FE55SW1874MF.99J.html,https://media.kenzo.com/b2cprd/FE55SW1874MF.99J_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE55SW1874MF.99J_H_01.jpg?twic=v1/cover=4:5/resize=706,$365,$255,,,,c-men.html
c-men,KENZO Elephant 'Varsity Jungle' embroidered cardigan,FD65SW0484ME.99J,https://www.kenzo.com/en-us/kenzo-elephant-varsity-jungle-embroidered-cardigan/FD65SW0484ME.99J.html,https://media.kenzo.com/b2cprd/FD65SW0484ME.99J_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FD65SW0484ME.99J_H_01.jpg?twic=v1/cover=4:5/resize=706,$530,$371,,,,c-men.html
c-men,'KENZO Elephant' embroidered sweatshirt,FD65SW1274MF.99J,https://www.kenzo.com/en-us/kenzo-elephant-embroidered-sweatshirt/FD65SW1274MF.99J.html,https://media.kenzo.com/b2cprd/FD65SW1274MF.99J_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FD65SW1274MF.99J_H_01.jpg?twic=v1/cover=4:5/resize=706,$435,$305,,"cherry, black",,c-men.html
c-men,'KENZO Drawn Varsity' hooded embroidered sweatshirt,FE55SW1754MF.99J,https://www.kenzo.com/en-us/kenzo-drawn-varsity-hooded-embroidered-sweatshirt/FE55SW1754MF.99J.html,https://media.kenzo.com/b2cprd/FE55SW1754MF.99J_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE55SW1754MF.99J_H_01.jpg?twic=v1/cover=4:5/resize=706,$530,$371,,,,c-men.html
c-men,Wool 'Boke Flower' jumper,FD55PU3813LB.02,https://www.kenzo.com/en-us/wool-boke-flower-jumper/FD55PU3813LB.02.html,https://media.kenzo.com/b2cprd/FD55PU3813LB.02_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FD55PU3813LB.02_H_02.jpg?twic=v1/cover=4:5/resize=706,$475,,,,,c-men.html
c-men,'Boke Flower' embroidered classic T-shirt,FC65TS4124SG.63,https://www.kenzo.com/en-us/boke-flower-embroidered-classic-t-shirt/FC65TS4124SG.63.html,https://media.kenzo.com/b2cprd/FC65TS4124SG.63_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FC65TS4124SG.63_H_01.jpg?twic=v1/cover=4:5/resize=706,$175,,,"black, pale grey, light blue, +1 more",,c-men.html
c-men,'KENZO Fruit Stickers' embroidered hooded sweatshirt,FE55PU0093BH.51,https://www.kenzo.com/en-us/kenzo-fruit-stickers-embroidered-hooded-sweatshirt/FE55PU0093BH.51.html,https://media.kenzo.com/b2cprd/FE55PU0093BH.51_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE55PU0093BH.51_H_01.jpg?twic=v1/cover=4:5/resize=706,$610,$366,,,,c-men.html
c-men,Classic swim trunk,FE55BA3009BA.99,https://www.kenzo.com/en-us/classic-swim-trunk/FE55BA3009BA.99.html,https://media.kenzo.com/b2cprd/FE55BA3009BA.99_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE55BA3009BA.99_H_01.jpg?twic=v1/cover=4:5/resize=706,$255,,,"bottle green, black",,c-men.html
c-men,'KENZO Orange' oversized hoodie,FE55SW1794MG.39,https://www.kenzo.com/en-us/kenzo-orange-oversized-hoodie/FE55SW1794MG.39.html,https://media.kenzo.com/b2cprd/FE55SW1794MG.39_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE55SW1794MG.39_H_01.jpg?twic=v1/cover=4:5/resize=706,$475,$333,,"lemon, black",,c-men.html
c-men,'Boke Flower' embroidered long-sleeved T-shirt,FE55TS1854SG.99J,https://www.kenzo.com/en-us/boke-flower-embroidered-long-sleeved-t-shirt/FE55TS1854SG.99J.html,https://media.kenzo.com/b2cprd/FE55TS1854SG.99J_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE55TS1854SG.99J_H_01.jpg?twic=v1/cover=4:5/resize=706,$205,,,"white, black",,c-men.html
c-men,'Boke Flower' embroidered sweatshirt,FD55SW4414MF.93,https://www.kenzo.com/en-us/boke-flower-embroidered-sweatshirt/FD55SW4414MF.93.html,https://media.kenzo.com/b2cprd/FD55SW4414MF.93_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FD55SW4414MF.93_H_02.jpg?twic=v1/cover=4:5/resize=706,$395,,,"black, pale grey",,c-men.html
c-men,KENZO Elephant 'Varsity Jungle' oversize T-shirt,FD65TS0064SG.69,https://www.kenzo.com/en-us/kenzo-elephant-varsity-jungle-oversize-t-shirt/FD65TS0064SG.69.html,https://media.kenzo.com/b2cprd/FD65TS0064SG.69_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FD65TS0064SG.69_H_01.jpg?twic=v1/cover=4:5/resize=706,$205,$144,,"cyan, black, off white",,c-men.html
c-men,'Boke Flower' sweatshirt,FD55SW4454ME.99J,https://www.kenzo.com/en-us/boke-flower-sweatshirt/FD55SW4454ME.99J.html,https://media.kenzo.com/b2cprd/FD55SW4454ME.99J_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FD55SW4454ME.99J_H_03.jpg?twic=v1/cover=4:5/resize=706,$395,,,"midnight blue, pale grey, black",,c-men.html
c-men,'Boke Flower' jumper in merino wool,FD65PU4273LD.02,https://www.kenzo.com/en-us/boke-flower-jumper-in-merino-wool/FD65PU4273LD.02.html,https://media.kenzo.com/b2cprd/FD65PU4273LD.02_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FD65PU4273LD.02_H_03.jpg?twic=v1/cover=4:5/resize=706,$530,,,"off white, black",,c-men.html
