category,name,product_id,product_url,image_url,full_price,discount_price,filename
mens-shoes,"Diamond Maxi/M II
    V WHITE/WHITE",DIAMONDMAXIMIIRXN081117,/en/men/shoes/diamond-maxi-m-ii/white-nappa-leather-platform-trainers-DIAMONDMAXIMIIRXN081117.html?cgid=men-shoes,None,$650,None,mens-shoes.html
mens-shoes,"Diamond Light/M II
    V WHITE/BLACK MIX",DIAMONDLIGHTMIIBFA1C0091,/en/men/shoes/diamond-light-m-ii/white-and-black-leather-mix-low-top-trainers-DIAMONDLIGHTMIIBFA1C0091.html?cgid=men-shoes,None,$695,None,mens-shoes.html
mens-shoes,"Jimmy Choo / Malbon Mule/M
    DENIM MIX",JCXMALBONMULEMMQH040104,/en/men/shoes/jimmy-choo-malbon-mule-m/denim-monogram-mules-JCXMALBONMULEMMQH040104.html?cgid=men-shoes,None,$795,None,mens-shoes.html
mens-shoes,"Diamond Light/M
    V WHITE",DIAMONDLIGHTMNAP081101,/en/men/shoes/diamond-light-m/white-nappa-leather-low-top-trainers-DIAMONDLIGHTMNAP081101.html?cgid=men-shoes,None,$650,None,mens-shoes.html
mens-shoes,"Diamond Light/M
    V BLACK",DIAMONDLIGHTMRXN013727,/en/men/shoes/diamond-light-m/black-nappa-leather-low-top-trainers-DIAMONDLIGHTMRXN013727.html?cgid=men-shoes,None,$650,None,mens-shoes.html
mens-shoes,"Palma/M
    X DENIM/LATTE",PALMAMCYE043621,/en/men/shoes/palma-m/denim-and-latte-canvas-low-top-trainers-with-embroidered-logo-PALMAMCYE043621.html?cgid=men-shoes,None,$595,None,mens-shoes.html
mens-shoes,None,None,None,None,None,None,mens-shoes.html
mens-shoes,"Palma/M
    X LATTE/LATTE",PALMAMCYE081321,/en/men/shoes/palma-m/latte-canvas-low-top-trainers-with-embroidered-logo-PALMAMCYE081321.html?cgid=men-shoes,None,$595,None,mens-shoes.html
mens-shoes,"Palma/M
    X BLACK/LATTE",PALMAMCYE013921,/en/men/shoes/palma-m/black-and-latte-canvas-low-top-trainers-with-embroidered-logo-PALMAMCYE013921.html?cgid=men-shoes,None,$595,None,mens-shoes.html
mens-shoes,"Etta Mule
    DENIM",ETTAMULESVV040037,/en/men/shoes/etta-mule/denim-velvet-suede-mules-ETTAMULESVV040037.html?cgid=men-shoes,None,$725,None,mens-shoes.html
mens-shoes,"Etta Mule
    STONE",ETTAMULESVV100024,/en/men/shoes/etta-mule/stone-velvet-suede-mules-ETTAMULESVV100024.html?cgid=men-shoes,None,$725,None,mens-shoes.html
mens-shoes,"Josh Driver
    STONE",JOSHDRIVERUUE100024,/en/men/shoes/josh-driver/stone-reverse-suede-driver-shoes-JOSHDRIVERUUE100024.html?cgid=men-shoes,None,$725,None,mens-shoes.html
mens-shoes,"Josh Driver
    NAVY",JOSHDRIVERUUE040014,/en/men/shoes/josh-driver/navy-reverse-suede-driver-shoes-JOSHDRIVERUUE040014.html?cgid=men-shoes,None,$725,None,mens-shoes.html
